reporting_area,population,agency_count,service_count,unique_test_count,avg_services_per_agency,avg_fee,min_fee,max_fee,labs_per_100k_population,services_per_100k_population,unique_tests_per_100k_population,area_sq_km,population_density_per_sq_km,agency_count_norm,service_count_norm,unique_test_count_norm,labs_per_100k_norm,services_per_100k_norm,unique_tests_per_100k_norm,population_norm,supply_score,per_capita_supply_score,gap_score,classification,nearest_agency,nearest_agency_province,centroid_nearest_lab_km,province_service_distance_km,service_area_band
KALINGA,229570,0,0,0,0.0,,,,0.0,0.0,0.0,2825.087653668844,81.26119545418896,0.0,0.0,0.0,0.0,0.0,0.0,0.01565013923224244,0.0,0.0,0.01565013923224244,No local OneLab presence,DOST-II,CAGAYAN,58.64025441250997,58.64025441250997,No local lab; nearest 50-100 km
LA UNION,822352,1,55,54,55.0,1096.490909090909,180.0,8000.0,0.12160242815728545,6.6881335486507,6.566531120493414,1412.57112605514,582.1667913435032,0.038461538461538464,0.039711191335740074,0.0397936624907885,0.3954008340305206,0.41353854609344715,0.42957979864632456,0.05967199012062636,0.03922782441706912,0.409491711778852,0.02044416570355724,Laboratory/service hotspot,DOST-I,LA UNION,12.5043236553367,0.0,Local OneLab presence
LAGUNA,3382193,7,547,517,78.14,384.1783088235294,0.0,10500.0,0.20696630854596412,16.172938682091765,15.285940216894778,1784.9305583863209,1894.859709868879,0.2692307692307692,0.39494584837545127,0.38098747236551217,0.6729688893172764,1.0,1.0,0.24977381305042445,0.34186814151559064,0.8691875557269106,-0.09209432846516619,Laboratory/service hotspot,International Rice Research Institute,LAGUNA,14.938213126578948,0.0,Local OneLab presence
LANAO DEL NORTE,1086017,0,0,0,0.0,,,,0.0,0.0,0.0,2636.3490971412057,411.9397545558936,0.0,0.0,0.0,0.0,0.0,0.0,0.07925258014273523,0.0,0.0,0.07925258014273523,No local OneLab presence,DOST-X,MISAMIS ORIENTAL,83.28016417644261,83.28016417644261,No local lab; nearest 50-100 km
LANAO DEL SUR,1195518,0,0,0,0.0,,,,0.0,0.0,0.0,3741.4585481979225,319.53260596080173,0.0,0.0,0.0,0.0,0.0,0.0,0.08738446790945037,0.0,0.0,0.08738446790945037,No local OneLab presence,DOST-ARMM,MAGUINDANAO,67.29973539420052,67.29973539420052,No local lab; nearest 50-100 km
LEYTE,2028728,1,20,20,20.0,807.38,350.0,1700.0,0.04929197014089617,0.9858394028179234,0.9858394028179234,5575.755828646248,363.8480705301186,0.038461538461538464,0.01444043321299639,0.014738393515106854,0.16027711288386945,0.060956108360785397,0.0644932132946801,0.14926125630503317,0.024108467372835313,0.10139193115679797,0.12515278893219786,Potentially underserved,DOST-VIII,LEYTE,36.02533989307384,0.0,Local OneLab presence
MAGUINDANAO,1667258,2,52,39,26.0,859.2307692307693,0.0,6000.0,0.1199574391006071,3.118893416615785,2.3391700624618386,4925.248620581247,338.51245458614846,0.07692307692307693,0.03754512635379061,0.028739867354458364,0.39005200954701275,0.1928464256201827,0.15302755533980644,0.12241736016678312,0.05153525478163869,0.2637648851348395,0.07088210538514443,Laboratory/service hotspot,DOST-XII-L1,MAGUINDANAO,24.5448665022151,0.0,Local OneLab presence
MARINDUQUE,239207,0,0,0,0.0,,,,0.0,0.0,0.0,921.4871265998031,259.58799976148373,0.0,0.0,0.0,0.0,0.0,0.0,0.016365813083694333,0.0,0.0,0.016365813083694333,No local OneLab presence,DOST-CALABARZON-L3,BATANGAS,110.36584460372416,110.36584460372416,No local lab; nearest 100-200 km
MASBATE,908920,0,0,0,0.0,,,,0.0,0.0,0.0,3989.237046990265,227.84306605338162,0.0,0.0,0.0,0.0,0.0,0.0,0.06610080136608526,0.0,0.0,0.06610080136608526,No local OneLab presence,DOST-V,ALBAY,101.97113789866353,101.97113789866353,No local lab; nearest 100-200 km
METROPOLITAN MANILA,13484462,26,1385,1357,53.27,1376.0582344428365,0.0,33000.0,0.19281451495803095,10.271080892956649,10.063434492232616,598.6501027938209,22524.780229836757,1.0,1.0,1.0,0.6269531059773341,0.6350782065556075,0.6583457968198784,1.0,1.0,0.6364816843771524,0.0,Laboratory/service hotspot,"Sentro sa Pagsusuri, Pagsasanay at Pangangasiwang Pang-Agham at Teknolohiyang Corporation",METROPOLITAN MANILA,2.1846125250777972,0.0,Local OneLab presence
MISAMIS OCCIDENTAL,617333,0,0,0,0.0,,,,0.0,0.0,0.0,1871.0578174936159,329.9379603495905,0.0,0.0,0.0,0.0,0.0,0.0,0.04444663603213247,0.0,0.0,0.04444663603213247,No local OneLab presence,DOST-X,MISAMIS ORIENTAL,105.84860315832522,105.84860315832522,No local lab; nearest 100-200 km
MISAMIS ORIENTAL,1685302,2,74,72,37.0,1336.0702702702702,0.0,19000.0,0.11867309241904418,4.3909044195046345,4.27223132708559,3378.49231257327,498.8325691102044,0.07692307692307693,0.053429602888086646,0.05305821665438467,0.38587584500186517,0.27149700532573384,0.2794876380821972,0.12375736421115356,0.06275271525534237,0.3188466677474791,0.06100464895581119,Laboratory/service hotspot,F.A.S.T. Laboratories (The First Analytical Services and Technical Cooperative) - Cagayan de Oro Branch,MISAMIS ORIENTAL,22.168175071867967,0.0,Local OneLab presence
MOUNTAIN PROVINCE,158200,0,0,0,0.0,,,,0.0,0.0,0.0,2112.497485116337,74.88766311657304,0.0,0.0,0.0,0.0,0.0,0.0,0.010349979143197968,0.0,0.0,0.010349979143197968,No local OneLab presence,DOST-II,CAGAYAN,94.5583415159965,94.5583415159965,No local lab; nearest 50-100 km
NEGROS OCCIDENTAL,3223955,1,17,15,17.0,0.0,0.0,0.0,0.031017802667841207,0.5273026453533005,0.4652670400176181,7658.79138967595,420.94827185734437,0.038461538461538464,0.01227436823104693,0.01105379513633014,0.10085707358405024,0.032604009433188585,0.030437580771340577,0.23802256277481537,0.022505121704300187,0.05947194936116365,0.21551744107051518,Potentially underserved,Negros Prawn Producers Cooperative Analytical and Diagnostic Laboratory,NEGROS OCCIDENTAL,44.682857358208636,0.0,Local OneLab presence
NEGROS ORIENTAL,1432990,0,0,0,0.0,,,,0.0,0.0,0.0,5133.555435697305,279.14181856017166,0.0,0.0,0.0,0.0,0.0,0.0,0.10501988358362115,0.0,0.0,0.10501988358362115,No local OneLab presence,Negros Prawn Producers Cooperative Analytical and Diagnostic Laboratory,NEGROS OCCIDENTAL,124.46242768195087,124.46242768195087,No local lab; nearest 100-200 km
NORTHERN SAMAR,639186,0,0,0,0.0,,,,0.0,0.0,0.0,3440.5196633447404,185.78181860428842,0.0,0.0,0.0,0.0,0.0,0.0,0.0460695083654082,0.0,0.0,0.0460695083654082,No local OneLab presence,DOST-VIII,LEYTE,142.0857802294151,142.0857802294151,No local lab; nearest 100-200 km
NUEVA ECIJA,2310134,0,0,0,0.0,,,,0.0,0.0,0.0,5457.194830623001,423.31895263051695,0.0,0.0,0.0,0.0,0.0,0.0,0.17015934864099574,0.0,0.0,0.17015934864099574,No local OneLab presence,DOST-III,PAMPANGA,75.45742893464347,75.45742893464347,No local lab; nearest 50-100 km
NUEVA VIZCAYA,497432,0,0,0,0.0,,,,0.0,0.0,0.0,4125.920522590471,120.56267135453349,0.0,0.0,0.0,0.0,0.0,0.0,0.03554241164041997,0.0,0.0,0.03554241164041997,No local OneLab presence,DOST-CAR,BENGUET,67.39461397371798,67.39461397371798,No local lab; nearest 50-100 km
OCCIDENTAL MINDORO,525354,0,0,0,0.0,,,,0.0,0.0,0.0,5971.967436619821,87.97000411933833,0.0,0.0,0.0,0.0,0.0,0.0,0.037615986952263876,0.0,0.0,0.037615986952263876,No local OneLab presence,DOST-CALABARZON-L3,BATANGAS,93.3689198058722,93.3689198058722,No local lab; nearest 50-100 km
ORIENTAL MINDORO,908339,0,0,0,0.0,,,,0.0,0.0,0.0,4115.267293351218,220.72418029019573,0.0,0.0,0.0,0.0,0.0,0.0,0.06605765448347724,0.0,0.0,0.06605765448347724,No local OneLab presence,DOST-CALABARZON-L3,BATANGAS,95.25654854193692,95.25654854193692,No local lab; nearest 50-100 km
PALAWAN,1246673,1,50,50,50.0,787.48,0.0,2350.0,0.08021349624159663,4.010674812079832,4.010674812079832,14388.498591668782,86.64371699781434,0.038461538461538464,0.036101083032490974,0.036845983787767135,0.2608211348658924,0.24798676918999496,0.2623767171120449,0.09118339868365619,0.037194245355165204,0.25599850504476396,0.05398915332849098,Laboratory/service hotspot,DOST-MIMAROPA,PALAWAN,22.630534590487926,0.0,Local OneLab presence
PAMPANGA,2900637,1,62,61,62.0,850.608870967742,0.0,4000.0,0.03447518596777191,2.1374615300018585,2.1029863440340866,2114.2383720673124,1371.953625628194,0.038461538461538464,0.044765342960288806,0.0449521002210759,0.11209905502366092,0.13216284139929757,0.13757651241562244,0.2140119538401134,0.04228117261294609,0.12522006105230787,0.1717307812271673,Potentially underserved,DOST-III,PAMPANGA,1.4325754740071126,0.0,Local OneLab presence
PANGASINAN,3163190,0,0,0,0.0,,,,0.0,0.0,0.0,5154.618712575104,613.6612960883306,0.0,0.0,0.0,0.0,0.0,0.0,0.23350996325385717,0.0,0.0,0.23350996325385717,No local OneLab presence,DOST-CAR,BENGUET,61.68240032790915,61.68240032790915,No local lab; nearest 50-100 km
QUEZON,2229383,0,0,0,0.0,,,,0.0,0.0,0.0,8400.969812363484,265.37209986388433,0.0,0.0,0.0,0.0,0.0,0.0,0.16416252606357623,0.0,0.0,0.16416252606357623,No local OneLab presence,International Rice Research Institute,LAGUNA,78.69626108502712,78.69626108502712,No local lab; nearest 50-100 km
QUIRINO,203828,0,0,0,0.0,,,,0.0,0.0,0.0,2768.011284490202,73.63698303619452,0.0,0.0,0.0,0.0,0.0,0.0,0.013738457559099904,0.0,0.0,0.013738457559099904,No local OneLab presence,DOST-CAR,BENGUET,113.76654586091198,113.76654586091198,No local lab; nearest 100-200 km
RIZAL,3330143,0,0,0,0.0,,,,0.0,0.0,0.0,1200.260388457896,2774.517123137417,0.0,0.0,0.0,0.0,0.0,0.0,0.24590841676858663,0.0,0.0,0.24590841676858663,No local OneLab presence,Philippine Institute of Pure and Applied Chemistry,METROPOLITAN MANILA,20.82298832533136,20.82298832533136,No local lab; nearest <= 50 km
ROMBLON,308985,0,0,0,0.0,,,,0.0,0.0,0.0,1309.6799564899272,235.92405035204982,0.0,0.0,0.0,0.0,0.0,0.0,0.021547746258604592,0.0,0.0,0.021547746258604592,No local OneLab presence,DOST-V,ALBAY,188.42489392400688,188.42489392400688,No local lab; nearest 100-200 km
